,name,attack,image
2,Traveler's Claymore (Intact),10,https://lh3.googleusercontent.com/docs/ADP-6oFQWAVy0jbAIgnPHGtTelvQxFX2ES6Mn_NEsXC6HDOTYqrRJqmApcd_WQo804FTnqNttsxwDPFxinjfc3sPAq5RTnTQqAc1nnFYclqufZVHggJV_XnS9ccls5hd4zJ99MiAibXBCm0AkKIQnLdh6lFJWlQOKq3QKdg6LGFUzJ4d7mMoZ8gWOI3SmJ0n-KQhQpAYIMj1NQTflLQl-NZpeYRwu7sASdPRmjUBNTFyNQSFCMfNm2tzCZHaUl_4qDJBVKaGNb76wRB8nkSk1gzIhoMyaFSAMk4OqxODBv12uJTZxdNvC_qBaNIULsFjNVhhEWxfriDf3SljpUxHhmwdDapjPENKTkHHCEGDQgrFWgedNmfzwZwgbadHehugYfUY-mgA1Ua7ZcOB-KKJdrhg2zEApngJdfUQWuDBIX_THBSLNWQXOxp14AvHyyTe3WrY7dURm6vkIuieJqGXcSWUaPHANoFgBTGnehn5cEe6Nwmd_j-Yst1LByI3QcbFif5RX9RYjfBn15OojgS9pON-sWTWXFd9dLu620Du_5RM89JRMSEQ66UEZmGwldzHJKPN17y_M3cXl0IsJLSMMgqL3iY6JyqzfrsGnH1H8gXMon8U189atAEggDGsJTdtEGy1OIUpFm5Bx1FPTxa8LOtvXpitJhhQYnyA_DpzwiOdbP0U6vfunBnEOPrs_F_deN2QaovFwP5MWPp3dSjex6WNxQlLxJ7ngImlPU8PEFt8Am3kN9RWo02PBEqa6yPMtOnjk3Vw27g6CD6gSoHmbEvkO9dEvamz3NQCKWkY5fOEjtWv9lo1q8Tp9GSbtm3ROXq5OuDt0FplVNUK5fO0xBgdPvNPK5jz3DRCy-f-IebNBFCfyglYdcSnmMCd7ZiU298p7GvNkhrO8rnlDJD2UqV-iB35GR3DHZvZ030ZB083wJCwAAIcPajXquEa8nqgSjUCzLUUVhnWItO3zSTKbi5uIBGPjYTiISp-lRDNS292I9OFYnL_97KQpDuhFlu9GmLUQUlckOTjdme3ft8k7txyosis2gKqRwnnDMemYLg7Ps6o4DPScv1eBS-KX-J53nOeMq_NkjlYoYi6rCmNYODZ_6QGKGJXn-MDnVFklSKS8nYwWR-dkM4YZdPxwOLICGmC-RnvxH1_sKX655uVUhuz-Qqkzsw7d80zEaIGdWYmZlUEzSxpen9D5CBCGYmBV78krVxWzuLRZcToAKTkYYuTpAijIstfUxNCww=w120-h119
3,Soldier's Claymore (Intact),17,https://lh3.googleusercontent.com/docs/ADP-6oHqd-wp6FyRsIy-bAxixZK-WoL222XDUe4VwZJgACY3v1dHJU2yUpvDguhGGfVTf-xBY_IeVD24m5bUJ_55dknz1ndUrECENytayTEDaXgQH8lXLNQ3Xr74dnZdU9CxkN6QO79kQIyjRt9XgOni7cSJXNOk4c1hiSb-FC_ppYEGgDQEe81u21BE74ZIRA33rI4StJFihTGEzjT1Zd9RmqnfS3oafOCVQ1f0v6Tk9ydC1z7OPDriPcTFfSxCvZ3aBNxcQBb1NCOzkGvkK739EVmdYcJLJFFIEULv0Zkbl0047FUAfhkGerlYkDXKPj82pdz78Wn2s7ijCQt0qqB-uyHjxY01V-h7bGPnmo7suept8ENdZoC5mbZVmxumGybGH2YxS2Ikq07AlypS4wd4W_E8IfJ8CKHEgfTnaLwgIKeMFhK0PuLkumcUYLoZAvKMpeOgrSbTxgjO03UEe-aAbXvW62r7T_m3bYsthkZj5ccrZuga-9NRn6DzpmDY5Lsifm26ohn4JqvOVoZntob5_faRddHcepS6JHX_tTkit-QPNY4gXF4MJDliVgtngcXJRT8fMNLU-3_Or6htncZFijHe3QOHknhneAZJ3VdJLD5f7RcwFAnrPR8TdcpUe8HlQYwiwpb2pCWMP3YMxV556M92ffQXZfqdCyo-QEekdSDNoJ2QDBW_OvRSbyP7L5Sp5gaRgT5AhgHIySUpfZA79ypFlwhPeOajNFPIwLtBtgJBiawWAr6zct3OYeflrm2L_FSTT8wo8E5Xp6-UugpfA7kGvzS3EZdjZ7TsDB42a3o5JLmP0ejl_7jzcc6kQXopwX-Qf9Man4RcWYDN0NYjjLX9ffdbYaEiIWgvnVAPDJhB-PvhDMOErW_daVogaCuhDQIIeWsHIX-BA1KIMd2Z6vBeGfz_cn85KaI9RhMEC2WQj9-YmjwXBgfzkgg1972R8VS7WFiiGAm8DGorJnsXo7Rq611hpwhtSbKVC6UJUbUu124kBMwkOKh-Uv1EIia0XYikijyc9toZh_wXmHBCXfJvccDuYrLjWZVDp8rdLh4Zd1Hiua8EyPkpCbEgetI3URkWkHzQ2rtyeEnO3TrrDq3ROMh9IC_z3ISEThxTn7yGRnk4Lg7VqE7AOToaxvkgXd6S6jCA-AMuNkvLUnP9ivJ6StGOtA_xXt9EwyNCcLxM6nXJEop5aR_RLtFHgRhZnp4OGQrQ14rUcgxCWpI65kDRpqnwd1kANQ=w120-h119
4,Knight's Claymore (Intact),26,https://lh3.googleusercontent.com/docs/ADP-6oEAD0bTusB3iMOn8tzimq0jTK5aBW3MV3UYVwy5MeGRmDxh7wfOvNi8-Ea3iOYLimQhWqnO5lsuxUqqJsMnmLxbDqAeCMHig3kqa3xe45G6JRvxBTdQ8HFOW2I-wRznYr7tTFHQrcefAG-ituyMmiSlIs0ek09BVYcwfTANnccHPsxlBZTY_BpkHy4hS-FvSQKaSZi2IdExo72tiYOqT8OUkq_IMilRv7iI6MiATFnPd0HpV0y5BsV0Jhq8B6od_i1NossnAfyhLHnkTAtZQM06RzIGgpJdc3RRU0NCWdXo_BQCDKIUUobzo5UKkY8YJreW_6oWWfiWVQVcw26v4uEY6NdqB2pD3sZ1zIIOWg-NQghp6xzcJAJ2T00KLQZhRp1OwZMv6kseVUxvxZzrHmoBhzhJrrLvHEoBJ7_IRdhg1uUwVjaqHd3uubZTVQR6T2w6Zo6GM4g4BhUkXCulrg-oIkpyzNczEonUcpvgu1PZu0q7TFvniHaGPAyG-HzgimnlaDO10D6DPLSvESOm3yoq7COVyK3F-XxEL_GUjFAVdaeZVY5ag6Y-SVvkMUOxLtgmey9eMPxA_qXcmXrBiY1Ker-ey-uIUAzkDgfYlmRPsackXu08GdwgdlKV7Vnv9M410Nbamfos9oohtSbg9n-iVW1A6TlsBUslaLuUVmRHyQcsgMFBg0-rTX-r3JRehqeBp7lp-AAvW0WIoSt-4v3w9eLhatd6q1X2XvtFyp5XgA92O55l3CM7h-dR04ZqOr4EhMbMdTH988W5DvsxnHk2aertQExmtwP4g7lsLNpZhRootv61_Gzg1I1kyNd3fxRIkFOUKvzO8b3Qorumx-BRRlUgxqGGfmBYuSD7bomy-H18Q8odFs_PnYpRxu_FICK0nZmKAc5bIt4uBSPc5mQ2V4TdqLkMaCY-J_pRUbAIw1AEYnVxH-xjKhHKHeYAvjns1avEIeWUpk3-iH65nGYbFh-M4nuAuZu0lTgre447mcXvJHd-apYPZztjU7pjfprUKZ1pctqJtEwCMzhYG4LZUJnkX2MWMoGKG9BOLhc03aM1yfNilc-3HtGemBO9nnXK62iy6VFAtfKAhb2Ic7V7BFM6taClXmHV_FrN6D_AgAST1l4hpqTePMj9XHX5WNrCwrt5H1j0hUETSbzO6qSjRkCthSSnh6-TdvvtUSVYYP1sD168Ls1wNutKUoXE_QV4mPV-NeKZvHTzUmVavK7ZtcplcTAcPA=w120-h119
5,Moblin Arm,30,https://lh3.googleusercontent.com/docs/ADP-6oFtas24KbYhZmZtXW87xS503L3_mVc1XKWcXEdbVHmLB1OGtuLoFhMPWTn6ZaIgVfN6uC2QCWBStwfxI7MjtQuFsN0-dd2e6kwY-BAsRpVs_yB7M0HUPpdyPd-Y6ATm6ZMa9Iao56qk3YT-KITPMzKBsCf3uOiz94HEfXbvR0PNpF-GcwydpuyHkVtMAEZcQCedD6TDH8Y0bDPRXp5Lup5cKptM1LfEQXk7Jtfm-TAUEW3-_JP81_JZgvRgJTcp-i5J9nDmZNToaHOCbpX8yM2xMhSmjRpTcLl8FteGs2OREYvcfX_Rv_DQqCGwSWPUn7Lje2aW0J8-Y_BP_dljUsFT54s-gDDPw1bkKsDEzhSez5FQIZu9OUUZy02kDJaIHkNmwp5Nl2zr2fQYR_ZrPZKyjyCh6UOLl4vbXA2pXS_DNI179xLSthVe3lpz4VEMHWHhoQVtApj20AcMirpRx8ENFZTIcNZGHww94CehUMQ0Upur9hCNpNUubwSBcHJ28ga6PHo-nP943Q1c1KdxfhyYlbCJVS1uXzcvgKCFd1-mCJmwfFeJznqdyIhZaRlYsoN2kZhjTcltplatUlduWJzoeZ7z-MsxSPYHVTendnT-K4C7t3n6V5ZJLv6L7WJCCTuhQnTzdYHZ-MCUEuIIni5zZK5uW4ihHztGNjDnrE-dU2C5dTqLZ3Odiyxq8q8dVLL-IKwDUTqCX2De7GFAeY1jOGP-Kp8zJl5raQzBJDfLHRzzqIsnNj7qwAVB-j6bY6_lOHvzjVS5UWL-Z9gTlmLygI5-si-iA-hwtkvOrR4FLWC1GULHh2Hq9antmI_dn8LGpS09YkkE5E17EfuC__tRq3LS7raknHO2sH5EDiOeZzOCC8I8uYorHndFEcnnmqiX3ZtePPDiP7nzE4ipOebiAPvYC73Z_NmRDz4W0cT8D2Ls8mjU8Ym3JpSoHq-5iTQDbYYUMGlKgMa81o1zTtMRPgbWijrj8V8PFfgp1HACUF1RAB6USq9GmQWPHonI_psadSJyKx1YjLCGhd1MCNbR0ev2Xvd-ShjE7COtvjfN_MBUSnPXuSmmyoOqucY85O-CBUs0E8nlJ25MtU8mR7N_FXwgtgb3oMLTRvacG7zwpuRbPNQfmFQ1MVH9rySCd5WEwEbpxhlgY47aJZRNng0unfupI6cgs_Bg-puYGEs0N2n2W0dDFArNOlFl5zrvPS3yKO2-JRb19oZfjgiGl88COSbwwg85Lg=w120-h119
6,Rusty Claymore,7,https://lh3.googleusercontent.com/docs/ADP-6oEVNbdKnE-zjXMIvAoU-UgYdFSG2IKhQ66mfjTWLqY3VITtfXHkJkdnGfKXWs1KroCby7vU06dT0vhcSD3Rei4Kn3ssa_2SLlLAg4sR7UjemTvk6AlMvEaHYzT4_E14gKjsgtVo8c0tZ9UzbBtBagAGlSWp6-PngEzWXUZtOnD6_-1OWKtihNhfmRsD8WIQC9Foc-5A9eLvF4-NLBE6PKre_8_n3-kIfM6ncqHrzDpPq8ttlK8uJ06ni7zvb5B2WucoeUrX_WSR_5JQR-9GtjjMdtmX1SJqW2JD1oq6Fd53elJy2QA8bW1n6hnxDrBPW8dG2B_r0QBk7ttzffIXaR6aQIGY07Ig0jS9O-2vip2_bQH7D94W7Y6FInR5pVKNlBT7my1FQkWN_tSWf4Ep7AmrXsRxhFqpKffQEvCwZQOm_I_5alYxY4OoPYeRTKD259g_-Y7_xF-5NXQiKQv3bOwQlU1hLNge4oOLJdySyYRQs4xF8tm714aMCqPN1O3t0Zig09T_NwxFirLlttexYmVl2msDiwzjFnH20vN48-7M1H5W15D9wEM6YBpMyH_y9Bnd3PpSQt8FpupEfuyDo5UssHjTVucfZ1NMkcdJxeDHuh8kXItQnZc2KOIq8GCXLT5r9-XDBl4KANmIOJcdEegy-45wB4gubukKuosDi7Tneq4wmyEBNUUlT7rd-SrEXd-Ig4qOLi-n4CxcP3nOajqeOuS9jz3qjWRdbgAqib6v4CDYG5muUHRQ2gvstNzQGagBuUaceSKhV_yEnJ09bjXRe-KuwVLcSNi-AagcDbL5piuKifC-znBtVywRsF_-fLVflXvKaW-cupeyo5ua4zGSzpKYIZyIOvgSTSCq16Jxw7Tk_yKbZ5dT1ojF33MAvxxeLU5vS5XnedAwDz0c7QBM2REWFg8_y7FRQFkHQ2A89pDwjWuNfA-cohvD6oaiW9CD8LJH1pg7ZjERGjMe9CPuIi2lsK04yC0fKZOae00TXNqdysMnuzkeJTZ2LEyFenPS0h3kpZzRaAfA7WBVD_02LcvVklwULm6SB6vHWrqz6Opfgc7r_fBSsHiHvyhXmtLEBBQyb_m4L5I6LI4cULaCPyUb28MVvxAv9B7SKsxOFUKsk4eIEcvHYSsSI-EbtjQrtzPPxl3qNnMYCC9U7zQWEX-0j0w_FOV62vfGy0RyC7cT5-XPpJANhiNTHvELMGxt1w9GU9rFlts61gGBAilbE-05xc_66g=w120-h119
7,Royal Claymore (Intact),36,https://lh3.googleusercontent.com/docs/ADP-6oHQz7z4uwNQiv44HbJttkVamia-DAVKIcmlfTr-0mABFFdkc54TJQFnUrUnzsZXpvMphUagIJS6p2c7gepYRbdMwQmga0cQG2rilqVCSvjEdDYMbA_W470TGhQmdgQeiaCgFagsWqp4Epz4afor7v6_RBy-DMrIKBJABiDdDTSOTcK26rOf2RCj39wVYYqTs42UIyQnqq3jrMpPMXpUjonCsEdQ8u8p08biRqCRfxD0VfDdkfyo24vsgFu60mpJ7CBXhFS4d8cdiHkOWo3Bynob3VwGej3pQxfe7wof1lr_R2vDhW0hw62KP8lFW7f82LgAZL2lxcIGhSbupuh3NBJmzKaFeCf_KIyWoSn09VqFbgqW5dh5Qi6Pa9QtRGs8_NpNVQ4WktmCXWoDaP-bE7XQb1ntXTm2BoPV-uFxNKNekB7bKzX5aV6yfD0iydyDkMj00GDOx6BC-jLvkjW73gtSrbH1Q05Gc0ypncrOq2W2V_THjkVtDQFefg60l9uS_AigsLsXjU32Rzy4AzMLl6cfLh79NrtZfiErFBTRbmHRdPjejrs1xhuujPZKERr2QhGfvdx2yz06xavWlSbUrPyHUmt8FSb3c4-u2It8xQGBEM6gWl0yebtqaDLZFXUnSsIKdAilTnuaeqdjlXDsvDVoci1pDfO3pW034lP31-mJAGn8EfUaQ11ov8eQRCukyv27k_llhUy53d_s8jadRxgk9eVyY8ldUooHCSUjDLxJGqgW42T4iGwc10iOr1MMby6tx9GQqoY12UI54gwpbZXdHl6wYBV-NCKlQjudjrNPS_tMyMllhNgLfCmHCWTzupbMVD_xtTLjOSafx-8YfHER9pqHUxoSzUvzZOTRL9Od8Oz-fmNS3l2p0dBwdAYeNXG3vNMw6j9MSOg7tptrIx9xVo5d-QnzYvt5xQaeqLCl3-4zHXZops5asIVFFLP9NNN8W_j--18PAzgCdpDD9yclFZGZ312P5K4s5y1xsSxA_I-1bPK-CUF-S_NNX4YlhAk9OPX7vnwVque3qVMPQmlHbXvbKGqiBIdJd8VMs3gOxEJeNnRQ7gRnP7amWZb6t8pM5nH_mIlTHMege9UmKcw3gioz6P3vlmyT_HJv20iHiPoBTZvzSp3P9exr2zFSmX6Jy5CKne6BaT4VINAXHdhb1GWvYyz8atsB3mZEtZJxqMu57waR7Fyvg4Z4OXBzjZu7w6lB8cStGwKJE54Ehuem20VBmk4o-w=w120-h119
8,Zora Longsword (Intact),18,https://lh3.googleusercontent.com/docs/ADP-6oH84L4Bs_4B7NwfqGkKequ5TtgBjBN7aJhovl43CgkaIcF14fh3BcaWLvMT2iSYK_KENzk4JNvFrQL-x9NLwQ28LswQ-uVnNwV7hSEP16Tp2INZ4AujinrKO6Q6GWCUziSWS8Q6aXQsY-38ejVAeqya9_FC72xyg4XfWsOUfaeNLZAs9LMhscFk4sQ4Ef89opKjewdkeqCimmNUqcsNKKfjJgEzvKuKZxDjYceYiJabBXRvcp_nMcp4QBo2ajrv67A6upMTctOn54a1RyXFOSEdmVYZAMVkJXvhEnteFwA6bmaw8nbkRjeGITkcsamR_x1VNV-mPN1VV5F5TDcmKHjTXhMBLg8OLz8Z7ziZk566Y4pQPbBprH6HrePa4cBVZTG6WSFLRDFDJRXiGoCS4xeaMlUY-acgHzRZplJMkTUXPfLVareazr7VgFMbWJ4Lma22QHN9wrRiBDoqFqIWe6WriG20I6eRvNppTD2ieXm31Tx1mdWHKJztNNHeNnK3t4Yy3YkT0p4d0b-Slx0QSQ6vgtiVmLxdAdpyAkMAnmr3dv0D0AOBPrcVNacu_KtLQSd90HMD8Xj9q0K7Qf4cwDFJ63v_IN-_ydXxt7riaoYCsYEemBdpmO23qtIptZI0AvuCBaTu9gtg3Y_zkTBOP3qOAfvFLroCTIyJulK5RgN5klYLecCeH_tkRve6-fftKrZmX18AmM56StB4rQU88GKkdndrxNIzDwq6G5RzE7rSFidtJLn-oAyY4fLxU8lqWgSkthBT-AC0vVg1otv6lVt057bxW0czUaqFQjWRhZCp-9obT8V7TY5oQWh6efsDADg7W8-oedcTg-lvwpsh5U0pWyo2W74COpvN1BvHvyQxQDzTy5W6alLRfNYm-WOSGxWMPeMAix9c2i4hpTlk8MH3kw1zkLdBQeC5GUgZDBEGqNx7iSQ9YercrpYSA4KucBryZLV1zZwG2IJVK1OyE5Q0bmTd3QWiFz9s3NvWur2XVnUuaok02F3Lc-xm-cgQYlbM3E1xe9s59WJXGyWNnmX9Y5hI1imAYX2GK-i0AxKcKbu2EYaLcFa4kLk8BGfHuEBm0wAwxHz0C7Gdy2yxYcGlnxQ-4uphLgGjotRtsD5YjqVccLGbCT8NkHLDXZs_tIo71kxi7qDrOeNqtJ_47ywHnY_8GZ6Ac07Ifa4vbPh_tokAvVkDLhqRl0vae9idZFiOYVpO-SuyE9Dn9bz4Gj2bZ4ExaI7ohg=w120-h119
9,Gerudo Claymore (Intact),24,https://lh3.googleusercontent.com/docs/ADP-6oGZPe50ObN4jzWMYtQQ1Dovoys2zvKvJm6tn_9KLDn9Y9hFt_wySXTHKEA1pAcZCtllNXKLr8tCQcwHl3otytDtjwpRSPdC5zoYmb7UmGlV7j8dK9B2Ogmcjz9dRIdwRNui6HZGEOukNgamuSpoWSUxSynLAlSIZVnvtuL7JoLArMbMRvrjnBtSo_FmGlte4NaTPiaosim6ZPslKlv09zM0e350mJeCa3SW9ZOQoPg2cU1kR-1O4yuc8vjCJXAne5ktaJz5R6fwdmFWBKZCcaUXJ-IEaf8mQ6nEBMULrjP3AeS2BygKE-TMOevgfSD4BBGvNmetRFiBvchMGX14W2M5R5CCAlkchqjLdhgZBlcJHs4kBRZNhrFCDXQbjlLSfCdPYKkYfIcIEneLAqXWB2wqud3xwuGjFx7BOqu8LpaSUJ3fOy4_HhBPVQqUBxLISav8eswQxyxUELQ2r_T77A5sPHY6NkT2N-G7SQJNxGU6D31SfMobDOyGPzERMegquUNCcG7El3j2LwNE7JpAWbHah6CtKmhhbao35EjG5F40Tj6LHpN4gTM8FulRMv4ZJipaps-4WHV9T5el9ZdQe1kgDteDrgKXfLflDBaqjL_LpM3Np0m9f7srNQwlgcFs9H7eZynJr9qCbaGr03AA_8PgurfXtovkhGICpEnrEhOeWLkULJOaLKj0d7uYUbUw2gBwLNnsdZ4pTO5qkhBp5Ys1qBM1hjWm9Ld05-Ut2PmQLL4T754aNOOySfDnl3mqYdtGnAVia3jfSpPx5h1XZnAcoDXstppbQN2t_iAmoKrroEmr1fLFlfzcpyZffpMNhGCG0SqtDehri3154riK39z5DquqC62OxXvH0WWoD76tEdaDRCpKtRIge26CaqJd3kuLOJJfJ3U03JOGbp8bnsQYZk6LLmMvaIEhUtB1yZ9slPIc2UXZZZHd6ASzb6acx-6fhLhpnKC4DRt_vlPYJph7_oRpmxW6ZSMvhUBHed-RqjORFOZI__TqvPQt1O3hHxcMRb9wE53jFbs806Cz3acx0TaLjA8SHzKH3-DVAQwswTVtS1hnow3FMO1j9nhQDu8GdFt566JM1XDVspQWR19l5rLdWXcq-0Bk0bE1_uS3mo5rsvngKAtaiIBwa0EwPEnKUUZxBJ42lNNSGZNSwEATaPIZdNssYKd-DqS8ltDzp6rxn_PhUKCKwcFSm66YdMpSzJyt7tqG_gSTFkmXnlb3OxemYGn57A=w120-h119
10,Cobble Crusher (Intact),15,https://lh3.googleusercontent.com/docs/ADP-6oHyKgCg42oADc18Xhb8WNeLJF2VRSB9D59AcKx-wE-tbfqqFFtvlUGwg0Fmem4yMYJeHpDhSg4UVVPs1cRMTLkLH_nFoZ2mm80EhhKkjRWpI4AZFGCPEmAItiZMIQPlI3GLnc3jsVKLv_nSxRE34a7Hyol44ChYKsq-mgDOv3ItvNENzE57DFSm1LIwotarUFqSfz2Q9QejL_cnMlv1YTvizmH9tqvpeNE66nualvvKd64rahbIrrfzgT_W5LwIGAOEM_Z1HDsBshEh6QWkelfcg8wK9gRoktclJRX5bQ5BIcWmFSUdMc1LUL6ZtZGKaypRoCDcvweExw7g56o6aIoaxmTRLAy_muEULc46oxSi2kKWyo_XT5ktaN-accr3cM0EqYhXp1YYvx-kTmU_XuHEk-wZc5ae_mfwzZveGYsT_gQZFm72lipVkbnvzhFcRdaegMaeVJEjNtWHNMN2wvPZQd_caQ4yrYyDSOBh3QrcFX1OikgTzbLl1ZC3qRmqEQ1mRmG3aF6UO7G1rznkWGMh2o28pYdxwklq5CI9JSKnK4leyNQXPi9HHPNypo8Hy-NAY74sI2in-CiS6mpBiyCLozc9VdOR5_UePC5u0qbCEZvPsyxPJZJcyMLYwP_EvkRPdLluOySGdbJ7vhUpDRdluqVzUfD_9hVB9VJ4TuBPpRsXGT4PMI7Vqr76WxC80zRlRz2pr4Fdv8KgahpdGe7UKQLrpY4xduZ9vLYUmMXa3KyA6tnDoqW1bKxdWuKo6Omheiz8wUX6YeX51NhbXyIOyuY3j5cMe9RHyl3AkMR5yHuaR_UqRBHMkAUc-IO6_Cwzlj0WRKLiAxM4e2TKWlk-OpjEm4HwEYZOy06fVhMgBgmtq8KREpeXiuWwU9TVDeIgHRBjI9TG-AVyBQ_Kv_fPsvWmdyJDZcl1WNdC_Opi2hviWJDk9k-Y5HSdH95MaD93GhGiSIkT8hISMDGaYU8J7co5omPXvmkQg3nwo1KM1rlMRhUwS_TzP8yyuB3fFM-3YDuXsq4lc0i3c583GPDSqK5p7IRDhbSWdjlm11MmiQR6efNKk0q_KT3k1daQvhiSJPIadhP-dpDLLvtE2ykEbJl7zyDyoBhYbLaLyvEh3BsRMijcjSmoTxgBNXPPT0E9D9c4F0U90o--cGSF08zk1lIohmwLIMdQeHzUjK5D_FrMg5gvpPCX_DINKKG9lS-p8EghMQ0inC6orP67t5STS9yOJ4w0oA=w120-h119
11,Boat Oar,5,https://lh3.googleusercontent.com/docs/ADP-6oGpnOObGAFWjmEagJsszLLFgHmeRucm9JT7E9dyuwscEF7Kf7K0esll2iSlFKJa4_VAnsgTu4neQ7GuqDVr1sb0mYN43UBuYpIl_uejXDQuRM-UkWEKvAK7-69gdmfOsHExBZx4n0C1Oi6OH3QVYSo6vQio0wJ25RKIX_4Kx3ScNKroDyyc_28PEzwrj3uBM7KXfHgs3LTaOfjevP0eEaGLBP8qC8z4UBBCVK9Re1IlO9SRP0hg6IkjdSmuLm1Fupv1rZSTmaGVRH80idRaZjRq-71bGebvr0sPoGrj3Y83OpFh2rDAGMVCNZ7_nCds4f4GqOghpEpeEXVbWd818zE0d3T_nGwaEWdPT-iyXg3-yfS2vtfxfgCzJ-y5_2Cxcx_qdH9k6LN-vf-wqhNrgX3r8bkTwYiSovQvJJ71PRSJ16cmijmvcFe0Nqi4jzjMF0lOPjOmT3nBK5GMHQZ1mcXigpEdWTEjy9KOb6LiP--xTfZcBnZ_tNULdT89MZtBEZjOo5WQLZBaqyWve-CB94YknziD7UPo7_fx9i53WM7XODIBlu-5jnJIbRz8IFwTSZubEsgttMgufRlpKWAslO4qX44uHHLDjEQstE1DHx1nO7p8v_akvtHx2VyMG0oGA8-Cs5tvtFvXVL2FEG527V5k4gWgalFJARCYGyCD0XnIbJikMpUJ8n0xQxbSi3xEs_tIrMmUCee_4uKEdh_kuzx3hDswj-SkjXVMuawwm2VFbiMgPPZiLEFAaRjuRejU-Jlz1h2gd2wlTzJClfD4vSqBUqQUfO-S8JY1rlEQE7LMMo7tiUhHZDG4-mDOS20luSRU6Hd6DowtdSB51di-XV0kCv92MbA1tbMMIeRMK4ze2JeoWuR5yGPh5lGNbF0KGBciEuA-dhIK6JRkB8WfMD6p9Ek1jyD9hdOMj-LHgE-7QObeqsL8KJlQGEtLm9y0iGGeAdW99JP8DkS6PWEBLgHlixEqeFVrQOTcM0Hl0DX782gCgmUfN1nBLZwEUzQoyejLgcAS1j1YvT0tCyleLD1zD4nJ0pDEEgNUASelsp9J5zyM4pJTqz0UK8gZqvFkoC7ouZ9wAuxzMxaHTTxlsRqBmd5868KG1RCGSh_9Au4Ah5OJ8Ds_Ko7sPJ_qUFxuwPCqDssvrVxIbL92BcUfI997Fbikt9VLAnhEF7J1lKcxY0Nr6gSbn5SZ73P9wsUfF_RGCl2iM1epdGw0B_enPLvoYc9yMHpZzA=w120-h119
